T2M,RH2M,WS2M,PRECTOTCORR,Date
12.99,48.25,2.35,0.0,2023-12-09 09:00:00
15.98,41.94,1.84,0.0,2023-12-09 10:00:00
19.83,30.75,1.38,0.0,2023-12-09 11:00:00
21.24,26.69,1.3,0.0,2023-12-09 12:00:00
21.8,24.94,1.1,0.0,2023-12-09 13:00:00
21.87,24.19,0.92,0.0,2023-12-09 14:00:00
21.29,27.5,0.52,0.0,2023-12-09 15:00:00
19.67,34.06,0.27,0.0,2023-12-09 16:00:00
18.15,31.88,0.48,0.0,2023-12-09 17:00:00
17.26,33.56,0.72,0.0,2023-12-09 18:00:00
16.23,36.0,0.82,0.0,2023-12-09 19:00:00
15.26,38.88,0.86,0.0,2023-12-09 20:00:00
14.48,40.19,0.99,0.0,2023-12-09 21:00:00
12.87,44.81,1.28,0.0,2023-12-09 22:00:00
11.13,50.81,1.44,0.0,2023-12-09 23:00:00
10.13,53.88,1.46,0.0,2023-12-10 00:00:00
9.67,54.5,1.44,0.0,2023-12-10 01:00:00
9.45,54.12,1.42,0.0,2023-12-10 02:00:00
